Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Kitto Seishun ga Kikoeru, No brand girls","Dancing stars on me!, Yume no Tobira","Angelic Angel, SUNNY DAY SONG","HEART to HEART!, Kaguya no Shiro de Odoritai, Natsuiro Egao de 1,2,Jump!, Paradise Live, Takaramonozu, Wonderful Rush","Diamond Princess no Yuuutsu, Love Novels, Trouble Busters","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","Love marginal, NO EXIT ORION, Pure girls project","Garasu no Hanazono, Listen to my heart!!, Soldier game","Ai wa Taiyou Ja Nai?, Junai Lens, Kodoku na Heaven, Kururin MIRACLE, Niko puri?Joshi dou, Spicaterrible",Private Wars,Angelic Angel,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Natsuiro Egao de 1,2,Jump!, Snow halation, SUNNY DAY SONG, Wonderful Rush",Rin Hoshizora (VA Riho Iida),"MIRAI TICKET, Yume de Yozora o Terashitai","Kimi no Kokoro wa Kagayaiteru kai?, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","HAPPY PARTY TRAIN, Humming Friend, Koi ni Naritai AQUARIUM, SKY JOURNEY, Sunshine Pikkapika Ondo","Guilty!? Farewell party, Shadow gate to love","INNOCENT BIRD, Tokimeki Bunruigaku","Kinmirai Happy End, Sakura Bye Bye","G Senjou no Cinderella, Waku-Waku-Week!","Oyasuminasan!, Pianoforte Monologue",CRASH MIND,Koi ni Naritai AQUARIUM,"Awaken the power, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MIRACLE WAVE, Yume de Yozora o Terashitai",You Watanabe (VA Saitou Shuka),"Meccha Going!!, TOKIMEKI Runners, Yume e no Ippo",Ai Miyashita (VA Natsumi Murakami)
"Aishiteru Banzai!, Bokura no LIVE Kimi to no LIFE","Dancing stars on me!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","Dreamin' Go! Go!!, Music S.T.A.R.T!!, LOVELESS WORLD, Paradise Live, Takaramonozu, Wonderful Rush","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","Binetsu Kara Mystery, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Love marginal, MUSEUM de Dou Shitai?, NO EXIT ORION","Mermaid festa vol.2 ~Passionate~, Soldier game, Zurui yo Magnetic today","Daring!!, Nawatobi, Spicaterrible",Shocking Party,Soldier game,Music S.T.A.R.T!!,Umi Sonoda (VA Suzuko Mimori),"Aozora Jumping Heart, Mijuku DREAMER","Awaken the power, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Next SPARKLING!!","Daydream Warrior, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Night, Guilty Kiss!, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Natsu e no Tobira Never end ver., Waku-Waku-Week!","Beginner's Sailing, One More Sunshine Story",CRASH MIND,Daydream Warrior,"Awaken the power, Brightest Melody, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Mijuku DREAMER, MY Mai?TONIGHT",Yoshiko Tsushima (Va Kobayashi Aika),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Korekara no Someday, START:DASH!!","KiRa-KiRa Sensation!, Sore wa Bokutachi no Kiseki","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Baby maybe Koi no Button, LONELIEST BABY, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Shangri-La Shower","Diamond Princess no Yuuutsu, Fuyu ga Kureta Yokan, Love Novels","Aki no Anata no Sora Tooku, Otohime Heart de Love Kyuuden","Eien Friends, Love marginal, Sweet&sweet holiday","Listen to my heart!!, Otome Shiki Ren'ai Juku","Niko puri?Joshi dou, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,START:DASH!!,Bokutachi wa Hitotsu no Hikari,Maki Nishikino (VA Pile),Yume Kataru yori Yume Utaou,"MIRACLE WAVE, MY Mai?TONIGHT",,"Humming Friend, Kimi no Hitomi o Meguru Bouken, Koi ni Naritai AQUARIUM, Shoujo Ijou no Koi ga Shitai","Guilty Night, Guilty Kiss!, Guilty!? Farewell party","GALAXY HidE and SeeK, Torikoriko PLEASE!!",Yozora wa Nandemo Shitteru no?,"Hajimari Road, Jimo Ai ? Mantan ? Summer Life",Pianoforte Monologue,SELF CONTROL!!,"Guilty Night, Guilty Kiss!",MIRACLE WAVE,Yoshiko Tsushima (Va Kobayashi Aika),TOKIMEKI Runners,Setsuna Yuki (VA Tomori Kusunoki)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","Snow halation, Yume no Tobira","Angelic Angel, Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Wonderful Rush","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Saitei de Saikou no Paradiso","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Otohime Heart de Love Kyuuden","Love marginal, Nightingale Love Song, UNBALANCED LOVE","Beat in Angel, Soldier game, Zurui yo Magnetic today","Kodoku na Heaven, Koi no Signal Rin rin rin!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Yume no Tobira,"Dancing stars on me!, Hello, Hoshi o Kazoete, Music S.T.A.R.T!!, Snow halation, SUNNY DAY SONG, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, Kimi no Hitomi o Meguru Bouken, Landing action Yeah!!, SKY JOURNEY, Thrilling?One Way","Guilty Eyes Fever, Kowareyasuki","Sotsugyou desu ne, Torikoriko PLEASE!!","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Manatsu wa Dare no Mono?, Natsu e no Tobira Never end ver.","Oyasuminasan!, Pianoforte Monologue",Believe again,WATER BLUE NEW WORLD,"Awaken the power, Believe again, Hop? Stop? Nonstop!, MY Mai?TONIGHT, WATER BLUE NEW WORLD, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),"Anata no Risou no Heroine, Evergreen, TOKIMEKI Runners",Karin Asaka (VA Miyu Kubota)
"Aishiteru Banzai!, Susume?Tomorrow","Dancing stars on me!, Snow halation","SUNNY DAY SONG, ??HEARTBEAT","LOVELESS WORLD, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shunjou Romantic",NO EXIT ORION,,"Junai Lens, Spicaterrible",Shocking Party,Mermaid festa vol.1,"Dancing stars on me!, Love wing bell, Snow halation, SUNNY DAY SONG, Susume?Tomorrow, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Kiseki Hikaru","""MY LIST"" to you!, Daydream Warrior, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kaigandoori de Matteru yo, Sakura Bye Bye","G Senjou no Cinderella, Natsu e no Tobira Never end ver.","Beginner's Sailing, WHITE FIRST LOVE",Believe again,Kiseki Hikaru,"Awaken the power, Koi ni Naritai AQUARIUM, Mijuku DREAMER, MY Mai?TONIGHT, Yume Kataru yori Yume Utaou",Mari Ohara (VA Suzuki Aina),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"No brand girls, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, Future style","Datte Datte Aa Mujou, Music S.T.A.R.T!!, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Shangri-La Shower, Wonderful Rush","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Otohime Heart de Love Kyuuden","NO EXIT ORION, Puwa Puwa-O!, Sweet&sweet holiday","Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~, Storm in Lover","Arifureta Kanashimi no Hate, Daring!!, Junai Lens, Koi no Signal Rin rin rin!, Someday of my life, Watashitachi wa Mirai no Hana",Private Wars,"Natsuiro Egao de 1,2,Jump!","Angelic Angel, Dancing stars on me!, Future style, Hello, Hoshi o Kazoete, Natsuiro Egao de 1,2,Jump!, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Step! ZERO to ONE, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Natsu e no Tobira Never end ver., Natsu no Owari no Amaoto ga","Oyasuminasan!, WHITE FIRST LOVE",CRASH MIND,Step! ZERO to ONE,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MIRACLE WAVE, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),"CHASE!, Meccha Going!!, TOKIMEKI Runners",Ai Miyashita (VA Natsumi Murakami)
"Bokura wa Ima no Naka de, Susume?Tomorrow","Snow halation, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Baby maybe Koi no Button, Music S.T.A.R.T!!, LOVELESS WORLD, Takaramonozu, Wonderful Rush","Cutie Panther, Love Novels, PSYCHIC FIRE","Futari Happiness, Shiranai Love*Oshiete Love, Shunjou Romantic","Eien Friends, Love marginal, NO EXIT ORION","After school NAVIGATORS, Beat in Angel, Soldier game","Ai wa Taiyou Ja Nai?, Daring!!, Kururin MIRACLE, NEURON,NEURON!!, Shiawase Iki no SMILING!, Yume Naki Yume wa Yume ja nai",Shocking Party,Bokutachi wa Hitotsu no Hikari,"Angelic Angel, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Snow halation, START:DASH!!, Susume?Tomorrow",Honoka Kousaka (VA Emi Nitta),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Bokura no Hashittekita Michi wa…, Brightest Melody","Hop?Step?Waai!, Humming Friend, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Shoujo Ijou no Koi ga Shitai","Guilty Night, Guilty Kiss!, Strawberry Trapper","LONELY TUNING, Sotsugyou desu ne","Genki Zenkai DAY! DAY! DAY!, Kaigandoori de Matteru yo","G Senjou no Cinderella, Hajimari Road","Beginner's Sailing, Sakana ka Nanda ka?",Believe again,Omoi yo Hitotsu ni Nare,"Aozora Jumping Heart, Bokura no Hashittekita Michi wa…, Next SPARKLING!!, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!",You Watanabe (VA Saitou Shuka),,
"No brand girls, Wonder zone","Snow halation, Sore wa Bokutachi no Kiseki","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Arashi no Naka no Koi dakara, Baby maybe Koi no Button, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Paradise Live, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Aki no Anata no Sora Tooku, Shiranai Love*Oshiete Love","Love marginal, Pure girls project, UNBALANCED LOVE","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~, Soldier game","Daring!!, Kodoku na Heaven, Koi no Signal Rin rin rin!, Someday of my life, Spicaterrible, Yuuki no Reason",Private Wars,Sakkaku CROSSROADS,"Bokutachi wa Hitotsu no Hikari, No brand girls, Snow halation, Wonder zone",Maki Nishikino (VA Pile),Yume Kataru yori Yume Utaou,"Kimi no Kokoro wa Kagayaiteru kai?, MY Mai?TONIGHT",,"HAPPY PARTY TRAIN, SKY JOURNEY",Strawberry Trapper,,,,,,HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,Kanan Matsuura (Suwa Nanaka),,
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Music S.T.A.R.T!!, Mi wa µ'sic no Mi, MOMENT RING, Natsuiro Egao de 1,2,Jump!, WILD STARS, Wonderful Rush","Cutie Panther, PSYCHIC FIRE","Binetsu Kara Mystery, Shunjou Romantic","Love marginal, NO EXIT ORION, WAO-WAO Powerful day!","After school NAVIGATORS, Listen to my heart!!, Soldier game","Daring!!, Niko puri?Joshi dou",Shocking Party,Snow halation,"Angelic Angel, Music S.T.A.R.T!!, Shocking Party, Snow halation, START:DASH!!, ??HEARTBEAT",Maki Nishikino (VA Pile),"Aozora Jumping Heart, MIRAI TICKET",MY Mai?TONIGHT,"Next SPARKLING!!, Over The Next Rainbow","Daydream Warrior, HAPPY PARTY TRAIN, Humming Friend, Jump up HIGH!!, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, INNOCENT BIRD",Genki Zenkai DAY! DAY! DAY!,Waku-Waku-Week!,"In this unstable world, New winding road",SELF CONTROL!!,MY Mai?TONIGHT,"HAPPY PARTY TRAIN, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Dia Kurosawa (VA Komiya Arisa),Doki Pipo ? Emotion,Kanata Konoe (VA Akari Kito)
"Bokura wa Ima no Naka de, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Baby maybe Koi no Button, Mermaid festa vol.1","PSYCHIC FIRE, Trouble Busters","Aki no Anata no Sora Tooku, Binetsu Kara Mystery",,"Soldier game, Suki desu ga Suki desu ka?",,Private Wars,START:DASH!!,"Bokura wa Ima no Naka de, Private Wars, Shocking Party, Snow halation, START:DASH!!, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare","Awaken the power, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Over The Next Rainbow",Thrilling?One Way,"Guilty Night, Guilty Kiss!, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD",,,"Oyasuminasan!, WHITE FIRST LOVE",SELF CONTROL!!,SELF CONTROL!!,"Awaken the power, Believe again, Mijuku DREAMER, Omoi yo Hitotsu ni Nare, SELF CONTROL!!, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),"CHASE!, Doki Pipo ? Emotion, TOKIMEKI Runners",Setsuna Yuki (VA Tomori Kusunoki)
"START:DASH!!, Susume?Tomorrow","Dancing stars on me!, Yume no Tobira","Future style, SUNNY DAY SONG","Kaguya no Shiro de Odoritai, LOVELESS WORLD","Cutie Panther, PSYCHIC FIRE, Trouble Busters","Otohime Heart de Love Kyuuden, Shunjou Romantic","Puwa Puwa-O!, WAO-WAO Powerful day!","Listen to my heart!!, Storm in Lover","Blueberry?Train, Spicaterrible",Private Wars,PSYCHIC FIRE,"Angelic Angel, Future style",Honoka Kousaka (VA Emi Nitta),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!",HAPPY PARTY TRAIN,"Guilty!? Farewell party, Kowareyasuki","Sotsugyou desu ne, Torikoriko PLEASE!!",Sakura Bye Bye,"Hajimari Road, Marine Border Parasol",One More Sunshine Story,Believe again,HAPPY PARTY TRAIN,"Awaken the power, HAPPY PARTY TRAIN, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),Meccha Going!!,Karin Asaka (VA Miyu Kubota)
"Kitto Seishun ga Kikoeru, START:DASH!!","Dancing stars on me!, Love wing bell","Angelic Angel, Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, Kaguya no Shiro de Odoritai, SENTIMENTAL StepS, Shangri-La Shower, Takaramonozu, WILD STARS","Love Novels, PSYCHIC FIRE, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Kimi no Kuse ni!, Shunjou Romantic","Eien Friends, NO EXIT ORION, UNBALANCED LOVE","Garasu no Hanazono, Listen to my heart!!, Storm in Lover","Ai wa Taiyou Ja Nai?, Blueberry?Train, Junai Lens, Kururin MIRACLE, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Kaguya no Shiro de Odoritai,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Future style, Hello, Hoshi o Kazoete, START:DASH!!, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","Kimi no Kokoro wa Kagayaiteru kai?, MY Mai?TONIGHT",,"Daydream Warrior, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, SKY JOURNEY, Thrilling?One Way","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Manatsu wa Dare no Mono?","RED GEM WINK, WHITE FIRST LOVE",CRASH MIND,SKY JOURNEY,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, Yume Kataru yori Yume Utaou",Dia Kurosawa (VA Komiya Arisa),"Doki Pipo ? Emotion, Meccha Going!!, Nemureru Mori ni Ikitai na",Ai Miyashita (VA Natsumi Murakami)
,,,,,,,,,,,,,"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Next SPARKLING!!, Over The Next Rainbow","Daydream Warrior, Jump up HIGH!!, Mattete Ai no Uta, Thank you, FRIENDS!!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper",,Yozora wa Nandemo Shitteru no?,,"In this unstable world, Pianoforte Monologue",Believe again,Yuuki wa doko ni? Kimi no Mune ni!,"Awaken the power, Believe again, Koi ni Naritai AQUARIUM, Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT, Next SPARKLING!!",Yoshiko Tsushima (Va Kobayashi Aika),,
"START:DASH!!, Susume?Tomorrow","Sore wa Bokutachi no Kiseki, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, Music S.T.A.R.T!!, LOVELESS WORLD, Natsuiro Egao de 1,2,Jump!, Super LOVE=Super LIVE!","Fuyu ga Kureta Yokan, Silent tonight, Trouble Busters","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Onaji Hoshi ga Mitai","MUSEUM de Dou Shitai?, Nightingale Love Song, NO EXIT ORION","Garasu no Hanazono, Soldier game, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Daring!!, Moshimo Kara Kitto, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,Yume no Tobira,"Angelic Angel, No brand girls, Snow halation, Susume?Tomorrow, Yume no Tobira, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Kimi no Kokoro wa Kagayaiteru kai?, WATER BLUE NEW WORLD","Next SPARKLING!!, Tousou Meisou Mobius Loop","HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, Landing action Yeah!!, Step! ZERO to ONE, Todokanai Hoshi da to Shitemo","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, LONELY TUNING","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Natsu no Owari no Amaoto ga, Yosoku Fukanou Driving!","Sakana ka Nanda ka?, WHITE FIRST LOVE",CRASH MIND,Next SPARKLING!!,"Aozora Jumping Heart, Mijuku DREAMER, MY Mai?TONIGHT, Next SPARKLING!!, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),"Anata no Risou no Heroine, Meccha Going!!, Starlight",Karin Asaka (VA Miyu Kubota)
"Korekara no Someday, Susume?Tomorrow","Dancing stars on me!, Happy maker!","Angelic Angel, ??HEARTBEAT","Datte Datte Aa Mujou, LONELIEST BABY, Mi wa µ'sic no Mi, WILD STARS","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery",Puwa Puwa-O!,"After school NAVIGATORS, Anemone heart, Beat in Angel","Daring!!, Kodoku na Heaven",Shocking Party,Datte Datte Aa Mujou,??HEARTBEAT,Maki Nishikino (VA Pile),"Aozora Jumping Heart, Mijuku DREAMER",MY Mai?TONIGHT,,"Daydream Warrior, Koi ni Naritai AQUARIUM, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,Waku-Waku-Week!,In this unstable world,SELF CONTROL!!,Daydream Warrior,,Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!",Kanata Konoe (VA Akari Kito)
"START:DASH!!, Susume?Tomorrow","Snow halation, Yume no Tobira","Angelic Angel, ??HEARTBEAT","Datte Datte Aa Mujou, LOVELESS WORLD, Mermaid festa vol.1, Ruteshi Kisuki Shiteru, Takaramonozu, WILD STARS","Cutie Panther, PSYCHIC FIRE, Saitei de Saikou no Paradiso","Binetsu Kara Mystery, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Love marginal, NO EXIT ORION, Puwa Puwa-O!","After school NAVIGATORS, Garasu no Hanazono, Soldier game","Daring!!, Junai Lens, Niko puri?Joshi dou, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,PSYCHIC FIRE,??HEARTBEAT,Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT",Hop? Stop? Nonstop!,"Daydream Warrior, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Hajimari Road, Natsu no Owari no Amaoto ga","Sakana ka Nanda ka?, WHITE FIRST LOVE",DROPOUT!?,MY Mai?TONIGHT,HAPPY PARTY TRAIN,Yoshiko Tsushima (Va Kobayashi Aika),"Meccha Going!!, Nemureru Mori ni Ikitai na, Starlight",Karin Asaka (VA Miyu Kubota)
Aishiteru Banzai!,Snow halation,"Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, COLORFUL VOICE, LOVELESS WORLD, Takaramonozu, WILD STARS, Wonderful Rush","Love Novels, PSYCHIC FIRE, Sakkaku CROSSROADS","Binetsu Kara Mystery, Shiranai Love*Oshiete Love",Nightingale Love Song,"Soldier game, Storm in Lover, Zurui yo Magnetic today","Ai wa Taiyou Ja Nai?, Arifureta Kanashimi no Hate, Daring!!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Watashitachi wa Mirai no Hana,"Hello, Hoshi o Kazoete, Snow halation",Umi Sonoda (VA Suzuko Mimori),Aozora Jumping Heart,Awaken the power,Brightest Melody,Daydream Warrior,"Kowareyasuki, Strawberry Trapper",INNOCENT BIRD,Sakura Bye Bye,G Senjou no Cinderella,New winding road,DROPOUT!?,Kowareyasuki,MIRACLE WAVE,Riko Sakurauchi (VA Aida Rikako),Evergreen,Karin Asaka (VA Miyu Kubota)
Korekara no Someday,Love wing bell,"Future style, Hello, Hoshi o Kazoete","LOVELESS WORLD, MOMENT RING, Sayounara e Sayonara!, Shangri-La Shower","Cutie Panther, PSYCHIC FIRE","Kimi no Kuse ni!, Otohime Heart de Love Kyuuden","MUSEUM de Dou Shitai?, UNBALANCED LOVE","Beat in Angel, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Blueberry?Train, Kururin MIRACLE, Mahoutsukai Hajimemashita!",Private Wars,Love wing bell,Love wing bell,Rin Hoshizora (VA Riho Iida),"MIRAI TICKET, Yume Kataru yori Yume Utaou","Awaken the power, Kimi no Kokoro wa Kagayaiteru kai?","Hop? Stop? Nonstop!, Next SPARKLING!!","Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, SKY JOURNEY","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, INNOCENT BIRD","Kaigandoori de Matteru yo, Kinmirai Happy End","Manatsu wa Dare no Mono?, Natsu e no Tobira Never end ver.","In this unstable world, RED GEM WINK",Believe again,Koi ni Naritai AQUARIUM,"Kimi no Kokoro wa Kagayaiteru kai?, Koi ni Naritai AQUARIUM",Dia Kurosawa (VA Komiya Arisa),"Doki Pipo ? Emotion, Evergreen, Yume e no Ippo",Emma Verde (VA Maria Sashide)
